market_id,race_time,runner_id,runner_name,odds_start,volume_start,lay_odds_start,lay_volume_start,odds_20,volume_20,lay_odds_20,lay_volume_20,odds_end,volume_end,lay_odds_end,lay_volume_end,score_start_home,score_start_away,score_20_home,score_20_away,score_end_home,score_end_away
1.236527441,2024-11-29 17:30:00+00:00,59056225,Home_Tekstilac Odzaci v OFK Beograd,5.0,4.0,5.2,67.01,5.8,34.49,5.9,11.48,1.9,2.16,1.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.236527441,2024-11-29 17:30:00+00:00,9790651,Away_Tekstilac Odzaci v OFK Beograd,1.97,21.9,1.99,3.0,1.94,50.04,1.95,42.7,5.8,13.16,6.0,53.65,0.0,0.0,0.0,0.0,0.0,0.0
1.236527441,2024-11-29 17:30:00+00:00,58805,Draw_Tekstilac Odzaci v OFK Beograd,3.35,23.32,3.45,6.46,3.1,6.01,3.2,5.67,3.25,38.89,3.35,55.35,0.0,0.0,0.0,0.0,0.0,0.0
1.236527489,2024-11-29 17:30:00+00:00,1221385,Under1.5_Tekstilac Odzaci v OFK Beograd,3.2,25.49,3.25,31.0,2.14,39.0,2.26,35.0,3.85,21.0,4.1,2.02,0.0,0.0,0.0,0.0,0.0,0.0
1.236527489,2024-11-29 17:30:00+00:00,1221386,Over1.5_Tekstilac Odzaci v OFK Beograd,1.44,13.99,1.47,33.25,1.81,9.29,1.87,32.0,1.32,49.34,1.35,133.09,0.0,0.0,0.0,0.0,0.0,0.0
1.236527486,2024-11-29 17:30:00+00:00,47972,Under2.5_Tekstilac Odzaci v OFK Beograd,1.7,13.0,1.76,9.0,1.35,249.95,1.4,73.0,1.58,6.38,1.61,60.81,0.0,0.0,0.0,0.0,0.0,0.0
1.236527486,2024-11-29 17:30:00+00:00,47973,Over2.5_Tekstilac Odzaci v OFK Beograd,2.32,17.16,2.42,7.83,3.55,28.24,3.85,18.0,2.64,77.78,2.76,79.14,0.0,0.0,0.0,0.0,0.0,0.0
1.236527490,2024-11-29 17:30:00+00:00,1222344,Under3.5_Tekstilac Odzaci v OFK Beograd,1.25,50.25,1.28,75.0,1.11,316.58,1.13,226.81,1.14,444.62,1.16,16.03,0.0,0.0,0.0,0.0,0.0,0.0
1.236527490,2024-11-29 17:30:00+00:00,1222345,Over3.5_Tekstilac Odzaci v OFK Beograd,4.5,19.82,5.0,4.0,8.8,9.0,10.5,11.92,7.0,22.28,7.6,4.04,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,1,Score_0_0_Tekstilac Odzaci v OFK Beograd,9.8,6.07,11.0,11.74,5.8,1.64,6.6,8.81,1.55,63.64,,,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,4,Score_0_1_Tekstilac Odzaci v OFK Beograd,7.2,5.48,7.6,9.0,4.9,10.7,5.6,3.85,1000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,9,Score_0_2_Tekstilac Odzaci v OFK Beograd,9.8,6.21,10.5,6.0,8.2,2.0,9.6,1.37,1000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,16,Score_0_3_Tekstilac Odzaci v OFK Beograd,20.0,7.0,22.0,6.0,20.0,29.16,27.0,5.14,1000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,2,Score_1_0_Tekstilac Odzaci v OFK Beograd,12.0,18.09,14.0,2.92,9.8,7.03,11.5,11.6,3.85,8.53,4.1,2.02,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,3,Score_1_1_Tekstilac Odzaci v OFK Beograd,7.2,16.23,8.0,2.0,7.2,7.86,8.2,17.45,3.75,9.91,4.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,8,Score_1_2_Tekstilac Odzaci v OFK Beograd,10.0,4.05,11.0,12.47,12.0,3.55,14.5,79.63,8.0,5.45,9.4,88.18,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,15,Score_1_3_Tekstilac Odzaci v OFK Beograd,21.0,8.58,26.0,4.64,32.0,2.0,40.0,4.2,30.0,16.77,40.0,32.79,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,5,Score_2_0_Tekstilac Odzaci v OFK Beograd,30.0,5.51,36.0,8.4,38.0,2.0,44.0,24.43,8.4,2.5,9.6,5.83,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,6,Score_2_1_Tekstilac Odzaci v OFK Beograd,16.5,9.14,20.0,5.66,23.0,4.0,32.0,60.37,9.0,49.75,11.5,158.91,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,7,Score_2_2_Tekstilac Odzaci v OFK Beograd,20.0,7.03,25.0,7.28,30.0,36.88,44.0,32.28,18.5,27.78,24.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,14,Score_2_3_Tekstilac Odzaci v OFK Beograd,42.0,4.31,55.0,3.48,90.0,2.0,140.0,18.77,65.0,7.6,90.0,14.18,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,10,Score_3_0_Tekstilac Odzaci v OFK Beograd,100.0,1.77,140.0,4.06,160.0,2.0,230.0,11.1,50.0,7.06,55.0,22.53,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,11,Score_3_1_Tekstilac Odzaci v OFK Beograd,60.0,3.25,80.0,1.79,130.0,2.0,180.0,12.67,42.0,10.63,55.0,22.46,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,12,Score_3_2_Tekstilac Odzaci v OFK Beograd,70.0,2.87,90.0,2.78,210.0,2.0,240.0,10.48,95.0,5.17,150.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,13,Score_3_3_Tekstilac Odzaci v OFK Beograd,110.0,3.68,160.0,4.88,380.0,2.0,620.0,3.77,330.0,1.48,520.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,9063254,Any Other Home Win_Tekstilac Odzaci v OFK Beograd,80.0,2.81,100.0,1.3,270.0,2.0,430.0,5.5,95.0,5.17,150.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,9063255,Any Other Away Win_Tekstilac Odzaci v OFK Beograd,16.0,10.76,19.0,7.17,29.0,17.9,40.0,43.59,85.0,5.79,140.0,18.64,0.0,0.0,0.0,0.0,0.0,0.0
1.236527450,2024-11-29 17:30:00+00:00,9063256,Any Other Draw_Tekstilac Odzaci v OFK Beograd,130.0,3.01,,,220.0,4.53,,,85.0,7.29,,,0.0,0.0,0.0,0.0,0.0,0.0
